Time,HMDP.x,HMDP.y,HMDP.z,HMDR_Q.x,HMDR_Q.y,HMDR_Q.z,HMDR_Q.w,LeftHandP.x,LeftHandP.y,LeftHandP.z,LeftHandR_Q.x,LeftHandR_Q.y,LeftHandR_Q.z,LeftHandR_Q.w,RightHandP.x,RightHandP.y,RightHandP.z,RightHandR_Q.x,RightHandR_Q.y,RightHandR_Q.z,RightHandR_Q.w,TriggerPull
0.7015443,0.2325342,1.182524,-0.1094451,-0.07819234,0.1091629,-0.02220755,-0.9906948,0.1296003,0.9135696,0.1219561,0.4829502,-0.1306992,0.5787961,-0.6439502,0.3199224,0.9636862,0.2272462,0.3511862,0.09091893,-0.4792152,-0.7992215,0
0.7132064,0.2308805,1.182782,-0.1096053,-0.0767734,0.1156881,-0.02239908,-0.9900608,0.1294101,0.9188168,0.121798,0.4965966,-0.1214963,0.5802544,-0.6339838,0.3184075,0.9683781,0.2257153,0.362158,0.08978885,-0.4788194,-0.794677,0
0.7242975,0.2286134,1.183108,-0.1098918,-0.07501621,0.1242496,-0.02215352,-0.9891633,0.1279525,0.9233537,0.1224654,0.5092341,-0.1107488,0.5879459,-0.6186558,0.3167034,0.9744186,0.2230973,0.3776097,0.08979836,-0.4706636,-0.7923528,0
0.7353938,0.2256817,1.183677,-0.110207,-0.07301117,0.1362079,-0.0215683,-0.9877508,0.1253976,0.9257428,0.1225526,0.5221263,-0.1035997,0.5975296,-0.5996747,0.3149481,0.9803076,0.2195382,0.3946397,0.09118855,-0.4611869,-0.7894623,0
0.746657,0.2224698,1.184343,-0.1106427,-0.07124881,0.1501554,-0.02055995,-0.9858775,0.1237202,0.9293978,0.1227925,0.5320517,-0.1010824,0.5966482,-0.5922115,0.312501,0.9861839,0.2154918,0.4124933,0.09324104,-0.4543012,-0.78407,0
0.7576359,0.2189538,1.184999,-0.1111777,-0.06991748,0.1654991,-0.01899179,-0.9835451,0.1204685,0.9324529,0.1238722,0.5337114,-0.1079661,0.5859367,-0.6001446,0.3096379,0.9913681,0.2114593,0.4289229,0.09674143,-0.4501528,-0.7771928,0
0.7688749,0.2150217,1.185783,-0.1117911,-0.06880362,0.1828518,-0.01686427,-0.980585,0.1178243,0.935472,0.125478,0.5344405,-0.118093,0.5775833,-0.6056607,0.3069537,0.9959382,0.2075704,0.4435547,0.1007239,-0.4472111,-0.7701404,0
0.77994,0.2111578,1.186592,-0.1126074,-0.06795632,0.2004255,-0.01485929,-0.9772364,0.1133956,0.9349141,0.1272486,0.5122496,-0.1446631,0.571008,-0.6249983,0.3035437,0.9998427,0.2033294,0.4572235,0.1076661,-0.4443237,-0.7628443,0
0.7909386,0.2071648,1.187342,-0.1134667,-0.06714045,0.217822,-0.01299053,-0.9735898,0.1098332,0.9339647,0.1292773,0.4853463,-0.1626251,0.576548,-0.6368552,0.2999932,1.003255,0.1988896,0.4713039,0.1152512,-0.4410721,-0.7550134,0
0.8025208,0.2032633,1.188069,-0.1143873,-0.06638459,0.2343022,-0.01180103,-0.9698229,0.1055684,0.9332517,0.1309538,0.461209,-0.1754109,0.5864862,-0.6423014,0.2966495,1.006638,0.1944906,0.4862702,0.1215606,-0.4385134,-0.7459694,0
0.8131128,0.1996604,1.188813,-0.1152775,-0.06551614,0.2500296,-0.01147831,-0.9659508,0.1014577,0.9313694,0.1332344,0.4325518,-0.1837372,0.6092575,-0.6387057,0.2927866,1.008805,0.1898596,0.5014954,0.1279838,-0.4401296,-0.7337633,0
0.824246,0.1965735,1.189494,-0.1163006,-0.06494306,0.2646954,-0.01153919,-0.9620736,0.09644437,0.9297944,0.1358724,0.412125,-0.1887884,0.6243741,-0.6361359,0.2899611,1.011452,0.1852326,0.5150626,0.1330862,-0.4407402,-0.7230122,0
0.8359755,0.193629,1.190297,-0.1170549,-0.06484073,0.2778969,-0.01190801,-0.9583462,0.09289318,0.9309626,0.138274,0.3990478,-0.190074,0.6318791,-0.6366801,0.2866684,1.012611,0.1824875,0.5254192,0.1361782,-0.4455905,-0.7119265,0
0.8469524,0.190884,1.191052,-0.1176399,-0.06439576,0.2900149,-0.01209541,-0.9547765,0.087874,0.9327374,0.1396641,0.3943897,-0.1805098,0.6349603,-0.6392953,0.2839241,1.013351,0.1810095,0.5347821,0.136903,-0.4523556,-0.7004571,0
0.8575495,0.1884041,1.191807,-0.1180053,-0.06383924,0.3006047,-0.01254456,-0.9515273,0.08190155,0.9359367,0.1402999,0.3955239,-0.1656234,0.6339245,-0.6436377,0.2811557,1.013173,0.1791019,0.545057,0.1410695,-0.4591895,-0.6871371,0
0.8689484,0.1862444,1.192598,-0.1180732,-0.06308034,0.3095921,-0.01297674,-0.9486861,0.07659495,0.9385173,0.1398821,0.3950288,-0.1539478,0.633737,-0.6470161,0.2782161,1.013104,0.1768297,0.5540641,0.1432978,-0.4670699,-0.6740359,0
0.8799898,0.1845411,1.193276,-0.1176435,-0.0616989,0.3157578,-0.0140924,-0.9467269,0.07089168,0.9429775,0.1395868,0.4024217,-0.1330656,0.6315778,-0.6491994,0.2752236,1.011744,0.1770741,0.5597253,0.144455,-0.4805859,-0.6594524,0
0.8910912,0.1828995,1.193913,-0.1170323,-0.06003892,0.3206953,-0.01548604,-0.9451508,0.06526864,0.9477817,0.1390859,0.4120679,-0.1131836,0.6263661,-0.6519625,0.2726249,1.010682,0.1764276,0.5672563,0.1463222,-0.4924703,-0.6436483,0
0.9021787,0.1813563,1.1945,-0.1161532,-0.05847379,0.3250024,-0.01685792,-0.9437532,0.05978024,0.9529803,0.1380317,0.4242325,-0.09675887,0.6158434,-0.6568116,0.2699953,1.007246,0.1777734,0.5753773,0.1458819,-0.5153075,-0.6181567,0
0.9131781,0.1800772,1.194949,-0.1150068,-0.05707121,0.3275319,-0.0182041,-0.9429393,0.05359471,0.9584445,0.1365135,0.4345863,-0.0846397,0.6055566,-0.6612656,0.2677268,1.001313,0.1815106,0.5846808,0.1426261,-0.5531213,-0.5760756,0
0.9243444,0.1787052,1.195357,-0.1137981,-0.05608685,0.3302824,-0.01947531,-0.9420131,0.04863667,0.9626777,0.135533,0.4420467,-0.07266168,0.5981306,-0.6644958,0.2655377,0.9966239,0.1829262,0.5924609,0.143892,-0.5772688,-0.5431814,0
0.9353071,0.1777124,1.195549,-0.1121941,-0.05592291,0.3311026,-0.02030402,-0.9417174,0.04336274,0.9657148,0.1335536,0.4480161,-0.06440403,0.5919736,-0.666859,0.2643138,0.9909611,0.1865934,0.5967773,0.1498199,-0.6021927,-0.5086992,0
0.946742,0.1766119,1.195807,-0.1105635,-0.05599555,0.3318723,-0.02083121,-0.9414306,0.0387336,0.9685639,0.1328819,0.4519058,-0.05600007,0.5880277,-0.6684822,0.2626997,0.9855788,0.1899199,-0.5986577,-0.1592202,0.6213753,0.4797401,0
0.9576751,0.1756312,1.196003,-0.1088108,-0.05626909,0.3323077,-0.0211719,-0.9412531,0.03473157,0.9716392,0.1332921,0.4533702,-0.04821749,0.589918,-0.6664288,0.2621034,0.9809583,0.1929796,-0.5950155,-0.1741582,0.635618,0.4600165,0
0.9689265,0.1745315,1.196212,-0.1069918,-0.05662652,0.3325586,-0.02127912,-0.9411405,0.03016663,0.9741626,0.1348068,0.4515338,-0.04040888,0.599543,-0.65957,0.2612692,0.9767459,0.1959592,-0.5897404,-0.1860801,0.6481709,0.444359,0
0.9798588,0.1735184,1.196221,-0.1049176,-0.0573598,0.3318309,-0.02079897,-0.9413636,0.02687925,0.9767134,0.136005,0.4497374,-0.03260824,0.6076173,-0.6538153,0.2593861,0.9740697,0.2008209,-0.5790895,-0.1877817,0.6608595,0.4389284,0
0.9908916,0.1724405,1.196201,-0.1027654,-0.05848802,0.3307901,-0.02001033,-0.9416776,0.02378428,0.9786576,0.1379198,0.4481505,-0.02994681,0.6161129,-0.6470465,0.2580032,0.9727281,0.2075156,-0.5696937,-0.1733881,0.6695041,0.4440158,0
1.00204,0.1713636,1.196103,-0.1004589,-0.06045031,0.3290818,-0.01845572,-0.9421838,0.02096784,0.9817019,0.1402702,0.4490555,-0.03010604,0.6209894,-0.6417281,0.2582068,0.9752659,0.2133813,-0.5636972,-0.1642013,0.6585674,0.4707148,0
1.013143,0.1702371,1.196056,-0.09820247,-0.06257255,0.3275054,-0.01673019,-0.9426267,0.0203926,0.9841352,0.1415715,0.4515176,-0.03222264,0.6239897,-0.6369697,0.258557,0.9802005,0.2179919,0.5544057,0.1639363,-0.628043,-0.5208851,0
1.024171,0.169158,1.195858,-0.09588861,-0.06521585,0.3252189,-0.01476034,-0.9432719,0.01971376,0.9867681,0.1425703,0.4549087,-0.03418865,0.625282,-0.6331759,0.2591684,0.9838661,0.2229571,0.544835,0.1604846,-0.6061019,-0.5568123,0
1.035327,0.1682475,1.195518,-0.0936265,-0.06845468,0.3223732,-0.01287588,-0.9440464,0.02005094,0.9898929,0.1439235,0.4618759,-0.04082092,0.6235134,-0.6294722,0.2605984,0.9894568,0.2286031,0.5317581,0.1476923,-0.5773323,-0.6017539,0
1.046477,0.167281,1.195194,-0.09123731,-0.07184142,0.3192199,-0.0114418,-0.9448844,0.02146751,0.9924525,0.1441231,0.4701633,-0.04538952,0.6225694,-0.6239339,0.2617217,0.993722,0.2337672,0.5178173,0.133827,-0.563559,-0.6295689,0
1.058138,0.1663438,1.194834,-0.0887754,-0.07509635,0.3159024,-0.01045688,-0.9457574,0.02330041,0.9955645,0.1446878,0.4796872,-0.04722449,0.6214816,-0.6176009,0.2626708,0.9963931,0.2390417,0.5034469,0.1235247,-0.5574558,-0.6484797,0
1.068644,0.1655352,1.194493,-0.08620036,-0.07836008,0.3120596,-0.01002516,-0.9467725,0.02689213,0.9980142,0.1445783,0.4892924,-0.04840925,0.6193092,-0.6121321,0.2622951,0.9981377,0.2444636,0.4889558,0.117529,-0.5678236,-0.651679,0
